Date,AMD,COST,DELL,INTC,NVDA,RIVN,SPY
2024-09-01,164.0800018310547,878.2716674804688,115.14848327636719,23.459999084472656,121.38147735595703,11.220000267028809,561.9352416992188
2024-10-01,144.07000732421875,866.0465087890625,120.09284210205078,21.520000457763672,132.70738220214844,10.100000381469727,558.6290283203125
2024-11-01,137.17999267578125,962.8375244140625,124.37999725341797,24.049999237060547,138.19520568847656,12.229999542236328,591.9419555664062
2024-12-01,120.79000091552734,908.951171875,112.3407211303711,20.049999237060547,134.2367706298828,13.300000190734863,575.761962890625
2025-01-01,115.94999694824219,972.0531005859375,100.99356079101562,19.43000030517578,120.03067016601562,12.5600004196167,593.2147216796875
2025-02-01,99.86000061035156,1040.2340087890625,100.57592010498047,23.729999542236328,124.87907409667969,11.84000015258789,585.6838989257812
2025-03-01,102.73999786376953,939.2620239257812,89.21267700195312,22.709999084472656,108.34449768066406,12.449999809265137,551.391357421875
2025-04-01,97.3499984741211,987.6463623046875,89.80972290039062,20.100000381469727,108.89433288574219,13.65999984741211,548.2550659179688
2025-05-01,110.7300033569336,1033.011474609375,109.60346221923828,19.549999237060547,135.09817504882812,14.529999732971191,582.7100830078125
2025-06-01,141.89999389648438,984.3986206054688,120.76376342773438,22.399999618530273,157.95278930664062,13.739999771118164,610.8474731445312
2025-07-01,176.30999755859375,934.3801879882812,130.70263671875,19.799999237060547,177.84043884277344,12.869999885559082,626.763671875
2025-08-01,162.6300048828125,938.0396118164062,120.81233978271484,24.350000381469727,174.1510467529297,13.569999694824219,639.6245727539062
2025-09-01,161.7899932861328,921.7238159179688,140.2174835205078,33.54999923706055,186.5489959716797,14.680000305175781,660.5768432617188
2025-10-01,256.1199951171875,907.6036987304688,160.23582458496094,39.9900016784668,202.4677734375,13.569999694824219,678.1983032226562
2025-11-01,217.52999877929688,911.021728515625,132.359619140625,40.560001373291016,176.98056030273438,16.860000610351562,679.5208129882812
2025-12-01,214.16000366210938,859.9158325195312,124.9450912475586,36.900001525878906,186.4795379638672,19.709999084472656,678.0591430664062
2026-01-01,236.72999572753906,937.6067504882812,113.5900650024414,46.470001220703125,191.11965942382812,14.75,690.0853271484375
2026-02-01,200.2100067138672,1009.325439453125,147.62322998046875,45.61000061035156,177.180419921875,15.329999923706055,684.1216430664062
2026-03-01,203.42999267578125,994.9862060546875,163.6237335205078,44.130001068115234,174.3905487060547,15.050000190734863,648.5687866210938
2026-04-01,354.489990234375,1013.06005859375,208.3054656982422,94.4800033569336,199.57000732421875,16.399999618530273,718.6599731445312
2026-05-01,458.7900085449219,998.0217895507812,247.0399932861328,129.44000244140625,219.44000244140625,14.079999923706055,739.2999877929688
