Asset,Expected_Return,Risk
SPY,0.014532502236975803,0.03935189343248201
NVDA,0.03463430766839572,0.09959538294802034
DELL,0.047440563131525296,0.13773645903093398
COST,0.007938654705207143,0.05701179295937856
AMD,0.07539166174733201,0.24507744140787255
INTC,0.11731636356516653,0.29214343134185466
RIVN,0.018500567843328448,0.12155533823096265
